Country,Confirmed,Date
Spain,3456886,2021-04-22T00:00:00Z
Spain,3468617,2021-04-23T00:00:00Z
Spain,3468617,2021-04-24T00:00:00Z
Spain,3468617,2021-04-25T00:00:00Z
Spain,3488469,2021-04-26T00:00:00Z
Spain,3496134,2021-04-27T00:00:00Z
Spain,3504799,2021-04-28T00:00:00Z
Spain,3514942,2021-04-29T00:00:00Z
Spain,3524077,2021-04-30T00:00:00Z
Spain,3524077,2021-05-01T00:00:00Z
Spain,3524077,2021-05-02T00:00:00Z
Spain,3540430,2021-05-03T00:00:00Z
Spain,3544945,2021-05-04T00:00:00Z
Spain,3551262,2021-05-05T00:00:00Z
Spain,3559222,2021-05-06T00:00:00Z
Spain,3567408,2021-05-07T00:00:00Z
Spain,3567408,2021-05-08T00:00:00Z
Spain,3567408,2021-05-09T00:00:00Z
Spain,3581392,2021-05-10T00:00:00Z
Spain,3586333,2021-05-11T00:00:00Z
Spain,3592751,2021-05-12T00:00:00Z
Spain,3598452,2021-05-13T00:00:00Z
Spain,3604799,2021-05-14T00:00:00Z
Spain,3604799,2021-05-15T00:00:00Z
Spain,3604799,2021-05-16T00:00:00Z
Spain,3615860,2021-05-17T00:00:00Z
Spain,3619848,2021-05-18T00:00:00Z
Spain,3625928,2021-05-19T00:00:00Z
Spain,3631661,2021-05-20T00:00:00Z
Spain,3636453,2021-05-21T00:00:00Z
Spain,3636453,2021-05-22T00:00:00Z
Spain,3636453,2021-05-23T00:00:00Z
Spain,3647520,2021-05-24T00:00:00Z
Spain,3652879,2021-05-25T00:00:00Z
Spain,3657886,2021-05-26T00:00:00Z
Spain,3663176,2021-05-27T00:00:00Z
Spain,3668658,2021-05-28T00:00:00Z
Spain,3668658,2021-05-29T00:00:00Z
Spain,3668658,2021-05-30T00:00:00Z
Spain,3678390,2021-05-31T00:00:00Z
Spain,3682778,2021-06-01T00:00:00Z
Spain,3687762,2021-06-02T00:00:00Z
Spain,3693012,2021-06-03T00:00:00Z
Spain,3697981,2021-06-04T00:00:00Z
Spain,3697981,2021-06-05T00:00:00Z
Spain,3697981,2021-06-06T00:00:00Z
Spain,3707523,2021-06-07T00:00:00Z
Spain,3711027,2021-06-08T00:00:00Z
Spain,3715454,2021-06-09T00:00:00Z
Spain,3729458,2021-06-10T00:00:00Z
Spain,3733600,2021-06-11T00:00:00Z
Spain,3733600,2021-06-12T00:00:00Z
Spain,3733600,2021-06-13T00:00:00Z
Spain,3741767,2021-06-14T00:00:00Z
Spain,3745199,2021-06-15T00:00:00Z
Spain,3749031,2021-06-16T00:00:00Z
Spain,3753228,2021-06-17T00:00:00Z
